id_bien;No_voie;B_T_Q;Type_voie;Voie;Code_postal;id_codedep_codecommune;Type_local;surface_carrez;Surface_local;total_piece
13079;267;;BD;DOCTEUR CHARLES BARNIER;83000;83137;Appartement;109,7;110;5
13080;5;;RUE;HENRY AURY;85690;85164;Appartement;33,45;35;2
13081;12;;RUE;MARECHAL NEY;85000;85191;Appartement;40,22;42;2
13082;4;;CHE;DES GELINOTTES;88250;88075;Maison;38,93;40;4
13083;;;RUE;DE DOMEVRE;88190;88209;Appartement;96,87;107;4
13084;14;;RUE;DE BALZAC;91410;91200;Appartement;53,88;53;2
13085;9001;;;OR SENART DU BELLAY;91210;91201;Appartement;68,49;75;3
13086;21;;RUE;DE LA PEUPLERAIE;91160;91345;Appartement;74,43;73;4
13087;1;;PL;D'ALLEMAGNE;91300;91377;Appartement;46,18;48;2
13088;196;;RTE;DE CORBEIL;91700;91549;Appartement;30,96;30;1
13089;1;;IMP;DU CACHALOT;92290;92019;Appartement;82,17;85;4
13090;61;B;AV;JEAN BAPTISTE CLEMENT;92140;92023;Appartement;52,4;50;3
13091;8;;RUE;ALBERT NEVEU;92140;92023;Appartement;65,73;65;4
13092;52;;RUE;DU MOULIN DE PIERRE;92140;92023;Appartement;23,35;22;2
13093;5;;RUE;VILLENEUVE;92110;92024;Appartement;47,78;50;3
13094;11;;PL;DES DOMINOS;92400;92026;Appartement;25,51;25;1
13095;71;;BD;SAINT DENIS;92400;92026;Appartement;37,02;36;2
13096;34;;AV;DU GENERAL LECLERC;92260;92032;Appartement;59,58;59;4
13097;13;;AV;CLAUDE DEBUSSY;92230;92036;Appartement;66,65;69;4
13098;3;;AV;VICTOR CRESSON;92130;92040;Maison;220,2;172;8
13099;107;;RUE;EDOUARD VAILLANT;92300;92044;Appartement;19,45;19;1
13100;53;;RUE;ANATOLE FRANCE;92300;92044;Appartement;50,88;46;3
13101;39;;RUE;MARIUS JACOTOT;92800;92062;Appartement;51,14;53;2
13102;11;;AV;LAVOISIER;92500;92063;Appartement;64,25;63;4
13103;12;;RUE;EUGENE BAUDOUIN;92170;92075;Appartement;65,07;63;3
13104;171;;RUE;DES CITES;93300;93001;Appartement;16,43;16;1
13105;171;;RUE;DES CITES;93300;93001;Appartement;13;14;1
13106;159;;RUE;DES CITES;93300;93001;Appartement;48,15;48;3
